ID,Song,Artist,Genre,TopSongs
,I'm Too Sexy,Right Said Fred,M Dance,
,Jeopardy Theme,TV/ Movie,Tv/ Movie,
,Survivor Theme,TV/ Movie,Tv/ Movie,
,Drum Roll,Special Effects,Special Affects,
,Ah Leah,Donnie Iris,M Rock,
,Good Feeling,Flo Rida,F Dance,
,Whistle Song,Flo Rida,M Dance,
,I Like How It Feels,Enrique Iglesius and Pitbull,F Dance,
,Hey Ho,Lumineers,M Dance,
,Drink In My Hand,Eric Church,F Country,
,We Run The Night,Havana Brown and Pitbull,F Dance,
,The Twist,Chubby Checker,60s,
,Limbo Rock,Chubby Checker,60s,
,Barbara Ann,Beach Boys,60s,
,Great Balls of Fire,Lerry Lee Lewis,60s,
,A Hard Day's Night,Beatles,60s,
,Jive Talkin,Bee Gees,M Dance,
,Hot Stuff,Donna Summer,Disco,
,The Hustle,Van Mcoy,Disco,
,Kung Fu Fighting,Carl Douglas,Disco,
,Flashdance,Irene Cara,F Dance,
,Le Freak,Chic,Disco,
,Boogie Oogie Oogie,Taste of Honey,Disco,
,Shadow Dancing,Andy Gibb,Disco,
,Butterfly Kisses,Bob Carlisle,S Country,
,CBC Hockey Theme,TV/Movie,TV/Movie,
,Dust On The Bottle,David Lee Murphy,F Country,
,Good Bye Earl,Dixie Chicks,F Country,
,It Had To Be You,Harry Connick,Adult Contemporary,
,My Maria,Brooks and Dunn,F Country,
,Pop A Top,Alan Jackson,F Country,
,Time of Your Life,Greenday,M Rock,
,My Guy,Mary Wells,R and B,
,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,R and B,
,Mack The Knife,Frank Sinatra,Adult Contemporary,
,Whiter Shade of Pale,Procol Harum,S Dance,
,"Louie,Louie",Animal House,Tv/Movie,
,Mustang Sally,The Commitments,M Dance,
,Summertime Blues,Brian Selzer,M Rock,
,Stray Cat Strut,Stray Cats,M Dance,
,Wild Child,Rick Ocasek,F Dance,
,Oh Canada,Instrumental,Specialty,
,Whoop! There It Is!,Clock,F Dance,
,Na Na Hey Hey Good bye,DJ Chrome,Specialty,
,Saturday Night,Whigfield,M Dance,
,The Hockey Song,Stompin Tom Connors,Specialty,
,Auld Lang Syne,Guy Lombardo,Specialty,
,Daddy's Little Girl,Al Martino,S Dance,
,Daughter of Mine,John McDermott,S Dance,
,Don't Stop,Fleetwood Mac,F Dance,
,From This Moment On,Shania Twain,S Dance,
,Having A Party,Rod Stewart,M Dance,
,I Knew The Bride,Nick Lowe,F Dance,
,I Love A Rainy Night,Kenny Loggins,F Country,
,Jailhouse Rock,Elvis,60s,
,(Bad Bad) Leroy Brown,Jim Croce,M Dance,
,Mickey,Toni Basil,F Dance,
,Mountain Music,Alabama,M Country,
,Rock and Roll Pt 2,Gary Glitter,F Rock,
,Spanish Eyes,Engelburt Humperdinck,Adult Contemporary,
,The Gambler,Kenny Rogers,M Country,
,Unforgettable,Nat King Cole,Adult Contemporary,
,Walking On Sunshine,Katrina and The Waves,F Dance,
,We've Only Just Begun,Carpenters,S Dance,
,Wind Beneath Your Wings,Bette Midler,S Dance,
,Suddenly I See,K.T Tunstall,M Dance,
,The Sweet Escape,Gwen Stefani and Akon,M Dance,
,Glamorous,Fergie,M Dance,
,Beautiful Girls,Sean Kingston,M Dance,
,Hey There Delilah,Plain White T's,M Dance,
,Apologize,Timaland and One Republic,S Dance,
,Into The Night,Santana and Chad Kroger,F Rock,
,Pocketful of Sunshine,Natasha Beddingfield,M Dance,
,Shake It,Metro Station,F Dance,
,Hot And Cold,Katy Perry,F Dance,
,Forever,Chris Brown,F Dance,
,Dangerous,Kardinal Offishall and Akon,M Dance,
,Keeps Getting Better,Christina Aguilera,F Dance,
,Let It Rock,Kevin Rudolf and Lil Wayne,M Dance,
,I Know You Want Me (Calle Ocho),Pitbull,F Dance,
,Hey Soul Sister,Train,M Rock,
,Don't Stop Until you Get Enough,Michael Jackson,M Dance,
,Empire State of Mind,Jay-Z  and Alicia Keys,Hip Hop,
,Get Down Tonight,Kc and the Sunshine Band,Disco,
,Hot In Herre,Nelly,Rap,
,I Hope You Dance,Lee Ann Womak,S Dance,
,I Like It,Enrique Iglesius and Pitbull,F Dance,
,I Loved Her First,Heartland,S Country,
,Ice Ice Baby,Vanilla Ice,M Dance,
,In My Head,Jason Derulo,F Dance,
,It's Raining Men,Weather Girls,F Dance,
,Jump Around,House of Pain,Hip Hop,
,Lets Get Loud,Jennifer Lopez,F Dance,
,Lets Get It Started,Black Eyed Peas,M Dance,
,Move This,Technotronic,F Dance,
,Rhythm Is A Dancer,Snap,F Dance,
,September,"Earth,Wind and Fire",Disco,
